city,state,singel_family
Bald Eagle, PA,100.8%
Bald Head Island, NC,99.4%
Bald Knob, AR,99.4%
Baldwin City, KS,99.0%
Baldwin Harbor, NY,104.9%
Baldwin Park, CA,106.1%
Baldwin Park, MO,
Baldwin, FL,
Baldwin, GA,101.2%
Baldwin, LA,
Baldwin, MD,
Baldwin, NY,104.5%
Baldwin, PA,99.1%
Baldwin, WI,96.8%
Baldwinsville, NY,113.4%
Baldwinville, MA,100.0%
Baldwyn, MS,
Balfour, NC,100.0%
Ball Club, MN,
Ball Ground, GA,98.7%
Ball Pond, CT,
Ball, LA,
Ballantine, MT,
Ballard, CA,
Ballard, UT,
Ballenger Creek, MD,101.8%
Ballico, CA,
Ballplay, AL,
Ballston Spa, NY,103.2%
Ballston, NY,108.9%
Balltown, IA,112.8%
Ballville, OH,92.9%
Ballwin, MO,100.4%
Bally, PA,102.8%
Balm, FL,98.7%
Balmville, NY,102.5%
Baltic, CT,
Baltic, OH,100.0%
Baltic, SD,100.0%
Baltimore Highlands, MD,100.6%
Baltimore, MD,100.0%
Baltimore, OH,105.4%
Bancroft, KY,95.3%
Bancroft, MI,
Bancroft, WI,
Bancroft, WV,
Bandana, KY,
Bandera, TX,82.5%
Bandon, OR,94.8%
Baneberry, TN,97.5%
Bangor, CA,98.4%
Bangor, ME,96.2%
Bangor, NY,89.0%
Bangor, PA,93.8%
Bangor, WI,99.7%
Bangs, TX,91.5%
Banks Lake South, WA,
Banks, ID,
Banks, OR,103.8%
Banner Hill, TN,81.8%
Banning, CA,99.5%
Bannock, OH,
Bannockburn, IL,
Bantam, CT,94.6%
Bar Nunn, WY,99.1%
Baraboo, WI,101.1%
Barataria, LA,
Barberton, OH,101.9%
Barberton, WA,99.2%
Barbourmeade, KY,101.0%
Barboursville, WV,100.5%
Barbourville, KY,94.3%
Barclay, MD,
Barclay, NJ,103.5%
Bardmoor, FL,96.4%
Bardolph, IL,
Bardonia, NY,103.0%
Bardstown, KY,97.7%
Bardwell, TX,
Bargaintown, NJ,98.4%
Bargersville, IN,98.1%
Baring, WA,95.8%
